tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,preprocessed_text,sentiment_polarity
192624,161253,True,Wed Oct 04 13:59:33 +0000 2017,@161252 What's that egg website people talk about,192623,192625.0,@ 161252 's egg website people talk,0.0
738238,296574,True,Fri Oct 06 18:29:06 +0000 2017,Why!🤷🏻‍♀️ #iOS11 @AppleSupport https://t.co/BXrVfeIXxq,738237,,! 🤷🏻‍♀️ # ios11 @ applesupport,0.0
2414302,AppleSupport,False,Tue Nov 14 17:38:01 +0000 2017,@693975 We can assist you. We recommend updating to iOS 11.1.1 if you haven't had the chance to do so. You can also DM us with the following link for futher support. https://t.co/GDrqU22YpT,2414303,2414304.0,@ 693975 assist . recommend updating ios 11.1.1 n't chance . also dm us following link futher support .,0.0
1793929,539096,True,Thu Oct 12 06:04:41 +0000 2017,@331912 @115955 Thats better than having an unstable connection that drops every 5-20 mins,1793928,1793930.0,@ 331912 @ 115955 thats better unstable connection drops every 5-20 mins,0.5
2088018,617376,True,Mon Nov 06 20:30:49 +0000 2017,@VirginAmerica is probably one of the best airlines I've ever experienced.,2088017,,@ virginamerica probably one best airlines 've ever experienced .,0.9
1941217,577298,True,Sun Oct 29 23:13:33 +0000 2017,@AlaskaAir Phone system seems to be down,1941219,1941216.0,@ alaskaair phone system seems,0.0
863668,SpotifyCares,False,Tue Nov 21 05:56:34 +0000 2017,@325106 Cool! Can you DM us a screenshot of your bank statement? /RB,,863669.0,@ 325106 cool ! dm us screenshot bank statement ? /rb,0.4375
2206333,645101,True,Fri Nov 10 00:12:30 +0000 2017,@Uber_Support Reports are there are 68 Ubers waiting for passengers.  Something isn't working...,2206335,2206332.0,@ uber_support reports 68 ubers waiting passengers . something n't working ...,0.0
1895823,AppleSupport,False,Wed Oct 18 12:33:00 +0000 2017,"@565060 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",,1895824.0,"@ 565060 since twitter support available english , get help join",0.2
2744170,162033,True,Mon Nov 20 19:15:58 +0000 2017,"@AmazonHelp Saw that but only after a labored hunt. Bigger point though: why only USB 2.0? 

Not expecting you to explain USB standards but is there/will there ever be a 3.0?",,2744169.0,@ amazonhelp saw labored hunt . bigger point though : usb 2.0 ? expecting explain usb standards there/will ever 3.0 ?,0.0
844825,BofA_Help,False,Fri Oct 20 13:45:51 +0000 2017,"@320829 Hi, please call 844.401.8500 Option 2 to file a claim. Also, please DM the ATM location so we can have it serviced. ^tr",,844826.0,"@ 320829 hi , please call 844.401.8500 option 2 file claim . also , please dm atm location serviced . ^tr",0.0
2484393,Uber_Support,False,Wed Nov 15 15:22:14 +0000 2017,@709739 We apologize for any inconvenience. Kindly send a note here: https://t.co/EGiaYE5JMU so we can connect.,,2484394.0,@ 709739 apologize inconvenience . kindly send note : connect .,0.6
1047538,367595,True,Tue Oct 24 05:01:31 +0000 2017,"@British_Airways Ok. Will check with them. Thanks.
Also, kudos for the flight safety video with Comic Relief stars. Fantastic!",1047540,1047537.0,"@ british_airways ok. check . thanks . also , kudos flight safety video comic relief stars . fantastic !",0.3625
960215,AskLyft,False,Wed Oct 11 14:09:08 +0000 2017,@347847 Can you please DM us some more details about what happened today? https://t.co/SXpdictw1A,,960216.0,@ 347847 please dm us details happened today ?,0.0
524920,241396,True,Sun Dec 03 03:29:32 +0000 2017,@AmazonHelp Give me the contact number of CLOUDTAIL INDIA PVT LTD i will talk to them about DISPATCHING 😡,,524919.0,@ amazonhelp give contact number cloudtail india pvt ltd talk dispatching 😡,0.0
57162,128955,True,Wed Nov 01 20:03:10 +0000 2017,@ChipotleTweets It’s pretty bad. But at least the queso is good!,57164,57161.0,@ chipotletweets ’ pretty bad . least queso good !,0.031250000000000056
2573837,729902,True,Thu Nov 16 20:56:25 +0000 2017,@AmazonHelp Omg your buffering is getting worse by the second. What is going on with Amazon,2573842,2573834.0,@ amazonhelp omg buffering getting worse second . going amazon,-0.2
1820869,ChipotleTweets,False,Sun Oct 29 00:45:00 +0000 2017,@546646 also Guactober. Sounds like a good time to make a wish. -Shawn,,1820870.0,@ 546646 also guactober . sounds like good time make wish . -shawn,0.7
2180734,AskTarget,False,Sun Nov 05 18:17:48 +0000 2017,@639002 We love to see your #TargetStyle! Thank you for the input. We will forward your feedback to our Merchandise Team for review.,,2180735.0,@ 639002 love see # targetstyle ! thank input . forward feedback merchandise team review .,0.625
2972824,AmazonHelp,False,Thu Nov 30 01:45:33 +0000 2017,"@819705 For the Shopping, Kindle, and Music apps, you can sign out (deregister) the device under the Devices tab here: https://t.co/o87OnrGtCn. If it's the Amazon Video app, you can deregister the device at the bottom of the page here: https://t.co/LF4fWTBwzm ^MV",2972825,2972826.0,"@ 819705 shopping , kindle , music apps , sign ( deregister ) device devices tab : 's amazon video app , deregister device bottom page : ^mv",0.0
2724137,764093,True,Mon Nov 20 10:17:56 +0000 2017,Is there a fault with your online chat? @O2 as can’t seem to get anyone available to request PUK code for my accounts,2724135,,fault online chat ? @ o2 ’ seem get anyone available request puk code accounts,0.4
2585655,152007,True,Fri Nov 17 01:35:54 +0000 2017,@AppleSupport Yes!,2585656,2585654.0,@ applesupport yes !,0.0
341050,Uber_Support,False,Sun Oct 08 00:45:12 +0000 2017,"@197482 Hey, Brandon, we recommend choosing a larger vehicle option like uberXL or UberSUV. Reach out if you have any other questions.",341051,341052.0,"@ 197482 hey , brandon , recommend choosing larger vehicle option like uberxl ubersuv . reach questions .",0.0
1187784,399308,True,Tue Oct 24 23:55:39 +0000 2017,"Truth be told, I specifically flew @Delta because I wanted the cookies 😋 https://t.co/ipnGrz8P6h",1187783,,"truth told , specifically flew @ delta wanted cookies 😋",0.0
1814543,AmericanAir,False,Wed Oct 18 02:59:16 +0000 2017,"@545098 We're glad to hear they were able to help. Time to sit down, relax and our crew will take great care of you!",,1814544.0,"@ 545098 're glad hear able help . time sit , relax crew take great care !",0.6666666666666666
697857,AmazonHelp,False,Tue Oct 10 19:17:32 +0000 2017,@286494 Cela nous fait énormément plaisir :) . ^ Ko,697858,697855.0,@ 286494 cela nous fait énormément plaisir : ) ko,0.5
78291,Safaricom_Care,False,Thu Nov 30 12:29:01 +0000 2017,"@133454  Hello Ganga, dial *100#ok prepay or *200#ok postpay &gt; My subscriptions &gt; Marketing messages &gt; Deactivate Marting messages &gt; ..",78292,78290.0,"@ 133454 hello ganga , dial * 100 # ok prepay * 200 # ok postpay & gt ; subscriptions & gt ; marketing messages & gt ; deactivate marting messages & gt ; ..",0.5
2606719,AppleSupport,False,Mon Oct 30 21:02:29 +0000 2017,@737436 Some features may not be available for all countries or regions. Check out this link for a complete list: https://t.co/EcYWjS6AUu,,35997.0,@ 737436 features may available countries regions . check link complete list :,0.25
2744480,588784,True,Mon Nov 20 18:22:29 +0000 2017,fucked my bill up for 3months and have the nerve to NOT have a direct phone for billing @116136 @115900 y’all suck!!,2744479,,fucked bill 3months nerve direct phone billing @ 116136 @ 115900 ’ suck ! !,-0.221875
647159,Tesco,False,Wed Nov 22 18:35:26 +0000 2017,"@273717 Hi, I'm sorry the Finest pulled pork is tough and for the inconvenience caused. Please DM your name, address, clear pic of the receipt and pic of date/barcode area on the packet so I can refund you via Moneycard? 1/2",,647158.0,"@ 273717 hi , 'm sorry finest pulled pork tough inconvenience caused . please dm name , address , clear pic receipt pic date/barcode area packet refund via moneycard ? 1/2",-0.26296296296296295
991947,354971,True,Wed Oct 11 23:54:39 +0000 2017,"@116076 why is this stores lobby (Patton Ave in Asheville, NC) closed/locked? Drive thru only? We ordered ‘standing’ in drivethru https://t.co/HBZ0jTovD7",991946,,"@ 116076 stores lobby ( patton ave asheville , nc ) closed/locked ? drive thru ? ordered ‘ standing ’ drivethru",0.0
17567,119893,True,Wed Nov 01 01:08:25 +0000 2017,@115714 Just preordered mine thru att but this sounds very good to go with @115714 can I switch once my phone gets here?,17566,17568.0,@ 115714 preordered mine thru att sounds good go @ 115714 switch phone gets ?,0.7
317275,191716,True,Sat Oct 07 08:25:41 +0000 2017,"@115850 @115821 Courier is showing false status, no delivery attempted, I am waiting in office, no call no attempt tracking 5180735251790","317274,317276",,"@ 115850 @ 115821 courier showing false status , delivery attempted , waiting office , call attempt tracking 5180735251790",-0.4000000000000001
1974474,UPSHelp,False,Wed Nov 01 14:38:24 +0000 2017,"@584716 I am sorry we have upset you. Our team would be happy to help. Please, DM tracking number and concern details. ^JL https://t.co/wKJHDXWGRQ",,1974475.0,"@ 584716 sorry upset . team would happy help . please , dm tracking number concern details . ^jl",0.15000000000000002
163996,153958,True,Fri Nov 24 19:22:36 +0000 2017,@SouthwestAir forever ❤️,163995,,@ southwestair forever ❤️,0.0
1960218,581433,True,Tue Oct 17 16:49:13 +0000 2017,@AskPlayStation i was in a hurry when i made the account,1960217,1960219.0,@ askplaystation hurry made account,0.0
2474323,183980,True,Wed Nov 15 13:37:52 +0000 2017,"@O2 No, that was not mentioned, it was a £100 discount they could apply.",2474324,2474322.0,"@ o2 , mentioned , £100 discount could apply .",0.0
2798966,hulu_support,False,Tue Nov 21 23:36:11 +0000 2017,"@223569 Sorry, Ben! Please reboot your device &amp; modem/router (https://t.co/HXpLyTU79x). If no luck, let us know the affected device.",2798967,2798968.0,"@ 223569 sorry , ben ! please reboot device & amp ; modem/router ( https : //t.co/hxplytu79x ) . luck , let us know affected device .",-0.625
